Infraction_Code,Year,Occurrences
FBEA,2016,1
FR15,2016,36
TW01,2016,10
15DC,2016,148
15DRES,2016,3
15FRSP,2016,80
150THE,2016,88
15UC,2016,36
15TARD,2016,18
CHEATQ,2016,11
CHEATT,2016,10
CHPL,2016,0
CIL,2016,4
CO,2016,0
COMP,2016,0
DA,2016,4
DD,2016,14
DEFACE,2016,1
DRESS,2016,6
FAILSER,2016,3
FIGHT,2016,6
FRD1,2016,6
GUMFD,2016,24
HARM,2016,4
HORSE,2016,5
HW,2016,0
IB,2016,1
IMMORA,2016,0
LCLWO,2016,1
LYING,2016,4
MOCP,2016,2
MP,2016,0
OLA,2016,0
SKIPCL,2016,4
SOCIAL,2016,1
TEN15,2016,2
THREAT,2016,0
THREE_1,2016,1
UMAT,2016,24
VULGAR,2016,1
WARN,2016,35
FBEA,2017,5
FR15,2017,13
TW01,2017,9
15DC,2017,89
15DRES,2017,6
15FRSP,2017,82
150THE,2017,15
15UC,2017,22
15TARD,2017,25
CHEATQ,2017,0
CHEATT,2017,2
CHPL,2017,0
CIL,2017,1
CO,2017,1
COMP,2017,2
DA,2017,1
DD,2017,4
DEFACE,2017,0
DRESS,2017,10
EL_A,2017,9
EL_C,2017,19
EL_DRF,2017,23
EL_I,2017,2
EL_O,2017,64
EL_OTH,2017,27
EL_T,2017,98
EL_W,2017,170
FAILSER,2017,9
FIGHT,2017,0
FRD1,2017,4
GUMFD,2017,7
HARM,2017,0
HORSE,2017,8
HW,2017,31
IB,2017,1
IMMORA,2017,1
LCLWO,2017,2
LYING,2017,2
MOCP,2017,2
MP,2017,0
OLA,2017,0
SKIPCL,2017,0
SOCIAL,2017,0
TEN15,2017,1
THREAT,2017,1
THREE_1,2017,1
UMAT,2017,9
VULGAR,2017,0
WARN,2017,36
FBEA,2018,10
FR15,2018,23
TW01,2018,8
15DC,2018,85
15DRES,2018,4
15FRSP,2018,40
150THE,2018,44
15UC,2018,49
15TARD,2018,26
CHEATQ,2018,2
CHEATT,2018,3
CHPL,2018,2
CIL,2018,5
CO,2018,0
COMP,2018,0
DA,2018,2
DD,2018,4
DEFACE,2018,0
DRESS,2018,0
EL_A,2018,2
EL_C,2018,8
EL_DRF,2018,18
EL_I,2018,1
EL_O,2018,28
EL_OTH,2018,29
EL_T,2018,64
EL_W,2018,99
FAILSER,2018,7
FIGHT,2018,1
FRD1,2018,1
GUMFD,2018,5
HARM,2018,3
HORSE,2018,4
HW,2018,37
IB,2018,1
IMMORA,2018,0
LCLWO,2018,4
LYING,2018,3
MOCP,2018,0
MP,2018,3
OLA,2018,2
SKIPCL,2018,0
SOCIAL,2018,0
TEN15,2018,0
THREAT,2018,0
THREE_1,2018,0
UMAT,2018,4
VULGAR,2018,1
WARN,2018,22
