Infraction_Code,Occurrences,,,,,,,,,,,,,,,,,,,,
FBEA,1,,,,,,,,,,,,,,,,,,,,
FR15,36,,,,,,,,,,,,,,,,,,,,
TW01,10,,,,,,,,,,,,,,,,,,,,
15DC,148,,,,,,,,,,,,,,,,,,,,
15DRES,3,,,,,,,,,,,,,,,,,,,,
15FRSP,80,,,,,,,,,,,,,,,,,,,,
150THE,88,,,,,,,,,,,,,,,,,,,,
15UC,36,,,,,,,,,,,,,,,,,,,,
15TARD,18,,,,,,,,,,,,,,,,,,,,
CHEATQ,11,,,,,,,,,,,,,,,,,,,,
CHEATT,10,,,,,,,,,,,,,,,,,,,,
CHPL,0,,,,,,,,,,,,,,,,,,,,
CIL,4,,,,,,,,,,,,,,,,,,,,
CO,0,,,,,,,,,,,,,,,,,,,,
COMP,0,,,,,,,,,,,,,,,,,,,,
DA,4,,,,,,,,,,,,,,,,,,,,
DD,14,,,,,,,,,,,,,,,,,,,,
DEFACE,1,,,,,,,,,,,,,,,,,,,,
DRESS,6,,,,,,,,,,,,,,,,,,,,
FAILSER,3,,,,,,,,,,,,,,,,,,,,
FIGHT,6,,,,,,,,,,,,,,,,,,,,
FRD1,6,,,,,,,,,,,,,,,,,,,,
GUMFD,24,,,,,,,,,,,,,,,,,,,,
HARM,4,,,,,,,,,,,,,,,,,,,,
HORSE,5,,,,,,,,,,,,,,,,,,,,
HW,0,,,,,,,,,,,,,,,,,,,,
IB,1,,,,,,,,,,,,,,,,,,,,
IMMORA,0,,,,,,,,,,,,,,,,,,,,
LCLWO,1,,,,,,,,,,,,,,,,,,,,
LYING,4,,,,,,,,,,,,,,,,,,,,
MOCP,2,,,,,,,,,,,,,,,,,,,,
MP,0,,,,,,,,,,,,,,,,,,,,
OLA,0,,,,,,,,,,,,,,,,,,,,
SKIPCL,4,,,,,,,,,,,,,,,,,,,,
SOCIAL,1,,,,,,,,,,,,,,,,,,,,
TEN15,2,,,,,,,,,,,,,,,,,,,,
THREAT,0,,,,,,,,,,,,,,,,,,,,
THREE_1,1,,,,,,,,,,,,,,,,,,,,
UMAT,24,,,,,,,,,,,,,,,,,,,,
VULGAR,1,,,,,,,,,,,,,,,,,,,,
WARN,35,,,,,,,,,,,,,,,,,,,,
