Infraction_Code,Count,,,,,,,,,,,,,,,,,,,
FBEA,5,,,,,,,,,,,,,,,,,,,
FR15,13,,,,,,,,,,,,,,,,,,,
TW01,9,,,,,,,,,,,,,,,,,,,
15DC,89,,,,,,,,,,,,,,,,,,,
15DRES,6,,,,,,,,,,,,,,,,,,,
15FRSP,82,,,,,,,,,,,,,,,,,,,
150THE,15,,,,,,,,,,,,,,,,,,,
15UC,22,,,,,,,,,,,,,,,,,,,
15TARD,25,,,,,,,,,,,,,,,,,,,
CHEATQ,0,,,,,,,,,,,,,,,,,,,
CHEATT,2,,,,,,,,,,,,,,,,,,,
CHPL,0,,,,,,,,,,,,,,,,,,,
CIL,1,,,,,,,,,,,,,,,,,,,
CO,1,,,,,,,,,,,,,,,,,,,
COMP,2,,,,,,,,,,,,,,,,,,,
DA,1,,,,,,,,,,,,,,,,,,,
DD,4,,,,,,,,,,,,,,,,,,,
DEFACE,0,,,,,,,,,,,,,,,,,,,
DRESS,10,,,,,,,,,,,,,,,,,,,
EL_A,9,,,,,,,,,,,,,,,,,,,
EL_C,19,,,,,,,,,,,,,,,,,,,
EL_DRF,23,,,,,,,,,,,,,,,,,,,
EL_I,2,,,,,,,,,,,,,,,,,,,
EL_O,64,,,,,,,,,,,,,,,,,,,
EL_OTH,27,,,,,,,,,,,,,,,,,,,
EL_T,98,,,,,,,,,,,,,,,,,,,
EL_W,170,,,,,,,,,,,,,,,,,,,
FAILSER,9,,,,,,,,,,,,,,,,,,,
FIGHT,0,,,,,,,,,,,,,,,,,,,
FRD1,4,,,,,,,,,,,,,,,,,,,
GUMFD,7,,,,,,,,,,,,,,,,,,,
HARM,0,,,,,,,,,,,,,,,,,,,
HORSE,8,,,,,,,,,,,,,,,,,,,
HW,31,,,,,,,,,,,,,,,,,,,
IB,1,,,,,,,,,,,,,,,,,,,
IMMORA,1,,,,,,,,,,,,,,,,,,,
LCLWO,2,,,,,,,,,,,,,,,,,,,
LYING,2,,,,,,,,,,,,,,,,,,,
MOCP,2,,,,,,,,,,,,,,,,,,,
MP,0,,,,,,,,,,,,,,,,,,,
OLA,0,,,,,,,,,,,,,,,,,,,
SKIPCL,0,,,,,,,,,,,,,,,,,,,
SOCIAL,0,,,,,,,,,,,,,,,,,,,
TEN15,1,,,,,,,,,,,,,,,,,,,
THREAT,1,,,,,,,,,,,,,,,,,,,
THREE_1,1,,,,,,,,,,,,,,,,,,,
UMAT,9,,,,,,,,,,,,,,,,,,,
VULGAR,0,,,,,,,,,,,,,,,,,,,
WARN,36,,,,,,,,,,,,,,,,,,,
