ID,Gender,Grade,Infractions,Demerits
EC002,Male,7,2,0
JC007,Male,7,3,5
SC003,Male,7,5,0
MD001,Male,7,3,0
JE003,Female,7,1,0
KG001,Female,7,3,5
NK001,Male,7,13,15
TP004,Female,7,2,5
CR007,Female,7,1,0
AR002,Male,7,2,5
ET001,Female,7,1,0
HW001,Male,7,4,0
LB005,Female,8,4,0
AB011,Male,8,3,0
DC003,Male,8,2,0
MC007,Female,8,6,0
MC008,Female,8,2,0
JD001,Male,8,2,0
NF001,Male,8,4,0
SH011,Male,8,3,25
SH012,Female,8,1,0
BH001,Female,8,3,0
LS001,Female,8,6,30
CT004,Female,8,1,0
SW005,Female,8,12,0
JA009,Female,9,9,0
GR002,Male,9,5,0
WH001,Male,9,1,0
CI002,Female,9,5,0
EL001,Male,9,8,0
SM004,Female,9,4,5
JM016,Male,9,2,0
JP003,Male,9,24,10
NR001,Male,9,2,0
ES002,Female,9,5,0
AW008,Female,9,5,5
GW003,Male,9,1,0
AF004,Male,10,1,0
DG001,Male,10,9,0
AH007,Female,10,1,0
DH001,Male,10,3,10
WJ001,Male,10,8,0
TK001,Male,10,5,10
JM015,Male,10,1,0
DT005,Male,10,9,0
TW001,Male,10,3,0
JW011,Male,10,24,35
VW001,Female,10,2,0
KA001,Male,11,4,15
KB001,Female,11,4,45
LB001,Female,11,2,0
RB001,Female,11,1,0
TB001,Female,11,2,0
GF001,Female,11,1,0
EF003,Male,11,7,0
JF003,Male,11,4,0
JH008,Male,11,3,5
TI001,Male,11,14,30
JJ002,Male,11,16,20
SJ006,Male,11,7,5
MK001,Male,11,1,0
SL002,Male,11,3,5
EM003,Male,11,6,50
EM001,Female,11,2,0
JS013,Male,11,1,0
CT002,Male,11,2,10
ZX001,Male,11,3,10
EA004,Male,12,1,0
NB002,Male,12,1,5
DB006,Male,12,1,10
CC003,Male,12,2,0
EC005,Female,12,1,5
PC001,Female,12,1,0
CD004,Female,12,4,20
RG002,Female,12,1,0
MG001,Male,12,7,0
WH002,Male,12,2,5
CI001,Female,12,1,0
KJ002,Female,12,1,60
BM002,Male,12,2,0
AS001,Male,12,4,10
CT007,Female,12,2,0
