Infraction Code,Occurrences_2016,Occurrences_2017,Occurences_2018
FBEA,1,5,10
FR15,36,13,23
TW01,10,9,8
15DC,148,89,85
15DRES,3,6,4
15FRSP,80,82,40
150THE,88,15,44
15UC,36,22,49
15TARD,18,25,26
CHEATQ,11,0,2
CHEATT,10,2,3
CHPL,0,0,2
CIL,4,1,5
CO,0,1,0
COMP,0,2,0
DA,4,1,2
DD,14,4,4
DEFACE,1,0,0
DRESS,6,10,0
EL_A,18,9,2
EL_C,35,19,8
EL_DRF,35,23,18
EL_I,5,2,1
EL_O,47,64,28
EL_OTH,70,27,29
EL_T,123,98,64
EL_W,215,170,99
FAILSER,3,9,7
FIGHT,6,0,1
FRD1,6,4,1
GUMFD,24,7,5
HARM,4,0,3
HORSE,5,8,4
HW,0,31,37
IB,1,1,1
IMMORA,0,1,0
LCLWO,1,2,4
LYING,4,2,3
MOCP,2,2,0
MP,0,0,3
OLA,0,0,2
SKIPCL,4,0,0
SOCIAL,1,0,0
 TEN15,2,1,0
THREAT,0,1,0
THREE_1,1,1,0
UMAT,24,9,4
VULGAR,1,0,1
WARN,35,36,22
